,date,cases,deaths,hospitalizations
0,2021-12-26,4459,11,208.0
1,2021-02-08,385,13,51.0
2,2021-06-12,46,5,8.0
3,2022-03-14,182,2,13.0
4,2021-10-01,384,4,31.0
5,2022-03-23,312,1,3.0
6,2020-06-02,247,25,50.0
7,2020-09-23,391,6,25.0
8,2022-06-17,672,0,25.0
9,2021-01-07,1381,17,89.0
10,2020-04-16,677,31,152.0
11,2021-07-21,217,0,11.0
12,2020-06-25,249,11,22.0
13,2022-03-05,93,1,10.0
14,2021-08-17,558,3,38.0
15,2021-02-21,158,9,24.0
16,2022-05-12,1485,1,28.0
17,2020-04-13,694,32,153.0
18,2020-07-02,256,6,25.0
19,2021-09-12,266,5,34.0
20,2022-02-22,283,2,27.0
21,2020-04-24,1074,54,167.0
22,2020-06-18,184,14,29.0
23,2020-07-01,266,13,22.0
24,2021-09-27,475,6,37.0
25,2020-08-21,430,5,21.0
26,2022-06-11,522,1,27.0
27,2022-07-07,947,0,22.0
28,2021-06-17,35,2,6.0
29,2022-05-10,1721,0,26.0
30,2022-07-03,447,0,23.0
31,2022-03-02,155,3,10.0
32,2021-01-06,1455,13,66.0
33,2021-09-21,468,6,33.0
34,2020-06-07,110,20,31.0
35,2022-02-27,94,7,8.0
36,2021-02-27,177,7,17.0
37,2022-02-09,490,10,29.0
38,2021-11-15,692,5,36.0
39,2020-09-06,143,2,11.0
40,2020-06-06,170,20,38.0
41,2021-01-31,171,17,38.0
42,2021-10-06,374,5,32.0
43,2022-04-24,401,0,20.0
44,2020-05-04,1121,48,127.0
45,2020-08-19,485,5,22.0
46,2021-06-21,46,3,9.0
47,2021-06-13,28,5,5.0
48,2022-05-02,1280,1,26.0
49,2020-03-16,77,1,14.0
50,2022-04-29,758,2,23.0
51,2022-02-18,281,4,19.0
52,2021-09-15,519,4,16.0
53,2021-08-29,309,2,25.0
54,2022-02-01,795,13,44.0
55,2020-12-01,2187,36,128.0
56,2022-06-20,826,3,34.0
57,2020-03-19,184,2,36.0
58,2022-03-07,171,3,10.0
59,2020-09-29,381,6,28.0
60,2020-08-26,388,3,34.0
61,2020-10-09,668,4,30.0
62,2022-05-24,1311,0,28.0
63,2021-11-04,495,1,27.0
64,2020-08-04,369,2,32.0
65,2021-05-27,121,6,19.0
66,2021-09-08,659,7,46.0
67,2021-04-11,363,5,54.0
68,2020-06-29,279,7,31.0
69,2021-04-19,659,7,54.0
70,2021-09-17,439,5,40.0
71,2022-05-23,1357,1,32.0
72,2020-06-13,120,18,23.0
73,2022-05-11,1662,2,29.0
74,2021-07-26,326,2,25.0
75,2020-12-30,1444,24,62.0
76,2021-07-11,69,2,7.0
77,2020-05-29,459,20,50.0
78,2020-09-01,330,3,17.0
79,2022-06-05,586,1,29.0
80,2022-04-17,252,0,12.0
81,2022-01-14,3061,21,158.0
82,2021-06-23,47,0,6.0
83,2021-01-17,392,15,51.0
84,2021-05-12,341,6,35.0
85,2021-01-24,338,16,47.0
86,2021-10-18,353,1,25.0
87,2020-07-14,324,3,23.0
88,2022-05-29,536,0,30.0
89,2022-02-20,113,4,12.0
90,2021-12-28,10433,15,233.0
91,2020-07-16,297,2,28.0
92,2022-01-31,952,18,46.0
93,2022-02-06,293,23,35.0
94,2021-09-01,538,5,30.0
95,2021-04-15,638,9,64.0
96,2021-11-11,525,4,28.0
97,2022-04-10,320,1,7.0
98,2022-06-24,816,1,29.0
99,2021-08-31,529,7,45.0
100,2022-04-16,357,1,7.0
101,2020-04-11,397,33,142.0
102,2020-11-08,1105,11,109.0
103,2021-02-06,263,13,29.0
104,2020-08-02,95,3,21.0
105,2020-05-25,252,23,78.0
106,2020-03-22,168,2,68.0
107,2020-03-06,3,0,2.0
108,2020-08-24,554,3,24.0
109,2022-03-22,271,0,8.0
110,2020-07-12,97,4,15.0
111,2022-04-03,216,1,8.0
112,2021-10-16,178,4,23.0
113,2022-05-30,379,1,28.0
114,2022-04-01,323,0,7.0
115,2021-11-10,592,2,31.0
116,2020-10-23,1016,4,65.0
117,2020-10-30,1871,4,84.0
118,2022-04-02,207,0,7.0
119,2020-04-25,638,38,118.0
120,2020-11-05,2637,6,115.0
121,2020-05-17,326,41,97.0
122,2020-07-06,282,5,31.0
123,2020-08-09,115,2,17.0
124,2020-06-15,235,20,31.0
125,2021-09-20,487,6,33.0
126,2020-03-07,3,0,3.0
127,2021-10-27,385,3,23.0
128,2020-09-15,352,1,21.0
129,2020-08-06,349,4,21.0
130,2022-04-15,550,1,15.0
131,2021-09-23,368,5,31.0
132,2021-03-02,329,7,31.0
133,2022-05-27,1043,1,28.0
134,2021-03-15,368,6,33.0
135,2021-01-05,1603,16,89.0
136,2020-09-11,342,5,19.0
137,2020-03-14,31,0,9.0
138,2022-03-03,161,2,13.0
139,2021-12-22,7526,18,155.0
140,2020-03-29,283,20,130.0
141,2021-08-23,644,2,53.0
142,2020-09-02,405,3,21.0
143,2021-08-22,284,7,33.0
144,2020-08-23,130,1,25.0
145,2020-12-20,581,30,70.0
146,2020-04-26,434,51,129.0
147,2021-11-27,554,4,34.0
148,2021-08-27,540,3,38.0
149,2022-06-02,1193,0,42.0
150,2020-09-10,329,2,19.0
151,2022-07-15,782,2,9.0
152,2021-10-28,400,6,25.0
153,2020-09-07,72,1,17.0
154,2021-05-23,95,6,28.0
155,2020-12-18,1300,19,81.0
156,2022-01-08,3314,29,193.0
157,2020-12-31,970,22,71.0
158,2020-07-19,100,2,22.0
159,2021-04-25,275,11,52.0
160,2021-02-19,318,8,32.0
161,2021-08-02,474,3,24.0
162,2020-06-14,92,12,27.0
163,2022-04-30,535,0,15.0
164,2020-03-23,289,3,101.0
165,2022-06-23,838,2,20.0
166,2022-05-22,621,0,33.0
167,2021-10-04,428,3,23.0
168,2021-07-05,58,2,7.0
169,2020-04-03,465,24,160.0
170,2021-09-16,475,7,33.0
171,2021-08-15,286,5,31.0
172,2021-06-08,74,4,14.0
173,2021-03-31,717,4,46.0
174,2022-06-09,975,1,31.0
175,2020-04-30,1274,40,168.0
176,2021-09-24,352,6,23.0
177,2021-11-22,782,3,45.0
178,2020-10-04,152,5,22.0
179,2020-08-27,382,2,24.0
180,2020-09-25,379,3,37.0
181,2022-01-26,1233,23,61.0
182,2022-02-10,425,6,23.0
183,2022-05-25,1330,0,31.0
184,2022-01-02,4169,19,218.0
185,2022-07-20,23,0,
186,2020-04-17,774,43,148.0
187,2021-11-25,188,3,46.0
188,2022-02-13,171,4,18.0
189,2020-12-23,1223,21,95.0
190,2021-01-11,1354,16,86.0
191,2020-05-02,719,49,166.0
192,2020-08-31,413,2,30.0
193,2020-03-03,0,0,3.0
194,2021-10-15,315,1,20.0
195,2021-05-03,549,6,65.0
196,2020-07-26,96,6,18.0
197,2021-11-12,617,6,36.0
198,2021-05-05,483,6,49.0
199,2022-03-27,173,1,5.0
200,2021-07-23,243,3,18.0
201,2020-07-22,364,4,34.0
202,2021-07-19,203,1,17.0
203,2021-08-20,564,3,32.0
204,2020-04-02,436,15,170.0
205,2020-03-12,21,0,7.0
206,2020-07-04,63,5,14.0
207,2020-05-01,1173,39,140.0
208,2021-12-16,3999,10,123.0
209,2021-12-08,1288,10,63.0
210,2020-05-28,522,22,70.0
211,2022-07-06,1003,2,19.0
212,2020-06-03,280,21,50.0
213,2021-03-07,174,4,14.0
214,2020-12-03,2070,30,117.0
215,2021-10-24,204,4,7.0
216,2021-09-25,228,3,26.0
217,2020-08-14,347,3,26.0
218,2022-04-19,887,1,19.0
219,2021-08-11,600,2,21.0
220,2020-11-07,1568,14,113.0
221,2020-11-20,2300,32,124.0
222,2020-04-10,571,32,155.0
223,2021-05-24,216,4,32.0
224,2021-03-27,410,4,33.0
225,2022-05-05,1099,0,21.0
226,2022-06-18,539,2,27.0
227,2022-04-06,595,0,8.0
228,2022-01-13,3633,30,196.0
229,2020-12-22,1338,17,82.0
230,2021-10-30,280,2,17.0
231,2021-09-02,497,6,40.0
232,2021-03-14,179,4,19.0
233,2020-08-30,100,5,22.0
234,2022-01-11,4431,26,223.0
235,2021-09-26,207,9,23.0
236,2020-11-30,2388,23,123.0
237,2021-08-12,591,2,30.0
238,2020-11-22,779,15,100.0
239,2021-01-15,1022,12,54.0
240,2020-10-10,442,5,31.0
241,2020-11-21,1264,18,99.0
242,2021-11-14,382,4,40.0
243,2020-05-09,520,53,96.0
244,2022-01-29,587,17,53.0
245,2021-02-28,149,4,19.0
246,2020-04-29,1151,44,158.0
247,2020-10-08,612,3,28.0
248,2020-10-03,227,3,31.0
249,2022-01-16,1154,30,118.0
250,2020-07-30,340,3,17.0
251,2021-08-08,274,2,30.0
252,2021-02-25,282,8,22.0
253,2020-07-08,306,4,28.0
254,2022-01-24,1522,20,83.0
255,2021-12-30,8207,15,265.0
256,2020-08-10,375,1,29.0
257,2021-12-27,9252,17,245.0
258,2022-07-01,725,1,23.0
259,2021-07-17,120,0,8.0
260,2022-03-24,247,1,7.0
261,2021-11-19,683,1,40.0
262,2022-07-11,954,0,7.0
263,2021-02-23,311,12,18.0
264,2022-06-25,508,1,23.0
265,2020-11-03,2139,13,108.0
266,2020-10-15,907,2,37.0
267,2020-11-06,2789,10,124.0
268,2022-06-08,1030,0,29.0
269,2021-09-22,406,7,24.0
270,2020-03-09,5,0,3.0
271,2022-01-04,9587,32,306.0
272,2022-03-13,82,1,9.0
273,2021-03-26,599,6,37.0
274,2021-06-28,50,2,11.0
275,2021-06-29,56,2,5.0
276,2022-07-04,246,1,20.0
277,2022-01-12,4027,34,184.0
278,2021-05-29,89,7,23.0
279,2021-07-20,187,3,12.0
280,2021-03-13,257,2,16.0
281,2020-07-29,445,3,19.0
282,2021-03-22,547,1,30.0
283,2021-07-10,49,0,5.0
284,2020-06-10,233,12,29.0
285,2020-09-20,108,6,17.0
286,2021-02-04,538,9,52.0
287,2021-05-28,139,4,22.0
288,2022-01-01,1871,21,195.0
289,2020-09-12,136,0,11.0
290,2020-04-15,630,31,149.0
291,2020-12-09,1756,28,112.0
292,2020-06-12,248,21,24.0
293,2020-11-13,2691,19,121.0
