,date,rides,docked_bike,electric_bike,classic_bike,evening,mid_day,morning,night,member,casual,mean_km_between_stations,mean_minutes,mean_ride_distance,tavg,tmin,tmax,prcp,snow,wspd,cases,deaths,hospitalizations
0,2020-04-01,2294.0,2294.0,,,805.0,1009.0,440.0,40.0,1895.0,399.0,2.0425872594314076,20.197122929380992,2.0425872594314076,6.2,2.2,11.7,0.0,0.0,12.5,461,24,181.0
1,2020-04-02,2608.0,2608.0,,,874.0,1226.0,476.0,32.0,2060.0,548.0,2.062935400374458,48.51993865030675,2.062935400374458,7.4,-0.6,15.0,0.0,0.0,8.3,436,15,170.0
2,2020-04-03,3532.0,3532.0,,,1302.0,1672.0,516.0,42.0,2570.0,962.0,2.165792576620145,67.9341402416006,2.165792576620145,13.4,7.8,21.1,0.3,0.0,11.1,465,24,160.0
3,2020-04-04,2288.0,2288.0,,,762.0,1185.0,272.0,69.0,1758.0,530.0,2.1572435638372514,48.63379953379953,2.1572435638372514,6.7,2.2,13.3,3.0,0.0,15.4,326,22,159.0
4,2020-04-05,2887.0,2887.0,,,635.0,1890.0,314.0,48.0,1982.0,905.0,2.187309009963961,28.103053919870682,2.187309009963961,5.7,2.8,10.0,0.0,0.0,14.2,292,26,146.0
5,2020-04-06,2427.0,2427.0,,,759.0,1171.0,465.0,32.0,1935.0,492.0,2.0601586324959973,30.405528086801265,2.0601586324959973,10.5,2.2,18.3,3.8,0.0,10.4,583,22,200.0
6,2020-04-07,5185.0,5185.0,,,1956.0,2585.0,604.0,40.0,3374.0,1811.0,2.0263563410382455,39.35955319832851,2.0263563410382455,19.4,12.8,26.7,17.5,0.0,15.6,556,25,194.0
7,2020-04-08,2365.0,2365.0,,,341.0,1400.0,577.0,47.0,1765.0,600.0,2.060560644535193,30.783023255813955,2.060560644535193,13.3,9.4,20.6,4.8,0.0,12.2,704,36,172.0
8,2020-04-09,1972.0,1972.0,,,625.0,801.0,512.0,34.0,1563.0,409.0,1.9914976078388278,39.489114266396214,1.9914976078388278,6.6,2.2,10.0,0.0,0.0,29.7,574,25,150.0
9,2020-04-10,2721.0,2721.0,,,868.0,1340.0,475.0,38.0,2056.0,665.0,2.17291958160991,22.25838539752542,2.17291958160991,5.0,1.1,10.6,0.0,0.0,17.1,571,32,155.0
10,2020-04-11,4458.0,4458.0,,,642.0,3248.0,518.0,50.0,2954.0,1504.0,2.2666444271433006,48.93466053536713,2.2666444271433006,11.5,5.6,18.3,5.8,0.0,14.2,397,33,142.0
11,2020-04-12,3670.0,3670.0,,,696.0,2404.0,497.0,73.0,2350.0,1320.0,2.091722299482195,41.95914623069937,2.091722299482195,13.4,9.4,18.9,0.8,0.0,16.5,340,33,136.0
12,2020-04-13,1820.0,1820.0,,,647.0,784.0,369.0,20.0,1482.0,338.0,2.043651332883205,18.288507326007327,2.043651332883205,5.3,1.7,12.8,1.3,0.0,28.6,694,32,153.0
13,2020-04-14,1609.0,1609.0,,,548.0,623.0,391.0,47.0,1356.0,253.0,2.0497967674550965,49.69542158690698,2.0497967674550965,2.0,-1.1,5.0,0.0,0.0,22.9,665,33,166.0
14,2020-04-15,1419.0,1419.0,,,545.0,610.0,223.0,41.0,1165.0,254.0,1.9217537061684515,19.72088325111581,1.9217537061684515,0.9,-2.2,4.4,2.3,0.0,13.9,630,31,149.0
15,2020-04-16,2272.0,2272.0,,,765.0,1041.0,433.0,33.0,1852.0,420.0,2.0973604603596696,23.105024941314554,2.0973604603596696,3.3,-2.2,7.8,0.0,0.0,14.8,677,31,152.0
16,2020-04-17,1435.0,1435.0,,,692.0,532.0,177.0,34.0,1128.0,307.0,1.9145218285736323,40.11555168408827,1.9145218285736323,2.5,0.6,5.6,9.4,0.0,12.6,774,43,148.0
17,2020-04-18,5116.0,5116.0,,,1181.0,3331.0,542.0,62.0,3285.0,1831.0,2.237827422212841,34.23032316914256,2.237827422212841,7.8,0.6,15.0,0.0,0.0,23.9,534,39,161.0
18,2020-04-19,5158.0,5158.0,,,849.0,3631.0,608.0,70.0,3224.0,1934.0,2.242381535464803,45.893776657619235,2.242381535464803,10.0,4.4,16.7,0.0,0.0,18.2,459,35,158.0
19,2020-04-20,3903.0,3903.0,,,1412.0,1828.0,624.0,39.0,2688.0,1215.0,2.070823463985549,37.44379964130156,2.070823463985549,10.5,2.2,18.3,1.5,0.0,17.6,990,40,181.0
20,2020-04-21,2627.0,2627.0,,,943.0,1136.0,501.0,47.0,1998.0,629.0,2.0497165198728573,40.286562618956985,2.0497165198728573,6.7,2.8,11.1,0.0,0.0,24.8,873,36,171.0
21,2020-04-22,1995.0,1995.0,,,574.0,858.0,509.0,54.0,1584.0,411.0,2.0794793143198316,28.77685881370092,2.0794793143198316,9.2,4.4,16.7,0.0,0.0,11.5,1053,45,145.0
22,2020-04-23,2284.0,2284.0,,,560.0,1083.0,598.0,43.0,1831.0,453.0,2.133225419495539,20.013091068301225,2.133225419495539,10.1,6.7,15.0,0.0,0.0,10.4,1466,36,167.0
23,2020-04-24,2284.0,2284.0,,,907.0,799.0,509.0,69.0,1708.0,576.0,2.1724756902468547,24.753706946876825,2.1724756902468547,6.8,5.6,9.4,0.0,0.0,14.7,1074,54,167.0
24,2020-04-25,1048.0,1048.0,,,280.0,459.0,238.0,71.0,845.0,203.0,1.9123791459260604,19.35019083969466,1.9123791459260604,6.7,5.6,8.3,20.3,0.0,18.7,638,38,118.0
25,2020-04-26,6200.0,6200.0,,,1372.0,4196.0,552.0,80.0,3884.0,2316.0,2.23249656417985,34.71395430107527,2.23249656417985,10.7,6.1,16.7,0.0,0.0,18.0,434,51,129.0
26,2020-04-27,2595.0,2595.0,,,545.0,1310.0,684.0,56.0,1959.0,636.0,2.0960812270353437,22.127360308285162,2.0960812270353437,12.6,3.9,20.0,8.1,0.0,15.0,1157,35,169.0
27,2020-04-28,3392.0,3392.0,,,337.0,2205.0,811.0,39.0,2429.0,963.0,1.9934195750587345,34.69295400943396,1.9934195750587345,17.4,11.7,24.4,8.9,0.0,15.4,1321,56,174.0
28,2020-04-29,645.0,645.0,,,246.0,231.0,148.0,20.0,510.0,135.0,1.9624058857497388,34.22485788113695,1.9624058857497388,11.8,5.6,16.7,58.7,0.0,19.3,1151,44,158.0
29,2020-04-30,2567.0,2567.0,,,1261.0,924.0,325.0,57.0,1958.0,609.0,1.979504475249487,25.437949616932865,1.979504475249487,8.0,5.6,12.2,3.0,0.0,23.0,1274,40,168.0
30,2020-05-01,4751.0,4751.0,,,1521.0,2368.0,769.0,93.0,3308.0,1443.0,2.2009021710183516,35.02790991370238,2.2009021710183516,12.0,2.8,19.4,0.0,0.0,7.0,1173,39,140.0
31,2020-05-02,11811.0,11811.0,,,2733.0,7736.0,1118.0,224.0,6137.0,5674.0,2.375884398569976,40.95034431179973,2.375884398569976,19.6,14.4,26.1,0.0,0.0,19.4,719,49,166.0
32,2020-05-03,9414.0,9414.0,,,2509.0,5621.0,1102.0,182.0,5153.0,4261.0,2.1588152349550715,39.81312407053325,2.1588152349550715,18.2,8.9,22.8,0.0,0.0,16.2,464,45,137.0
33,2020-05-04,2634.0,2634.0,,,867.0,1158.0,563.0,46.0,1947.0,687.0,2.0359671814466713,23.573316881802075,2.0359671814466713,6.9,5.0,8.9,0.0,0.0,23.8,1121,48,127.0
34,2020-05-05,1953.0,1953.0,,,917.0,621.0,362.0,53.0,1495.0,458.0,2.0321171336019535,22.895485577743642,2.0321171336019535,7.3,5.6,8.9,6.6,0.0,15.0,1090,58,156.0
35,2020-05-06,4775.0,4775.0,,,1911.0,2055.0,736.0,73.0,3218.0,1557.0,2.120101899657413,26.69326352530541,2.120101899657413,10.5,3.3,16.1,0.0,0.0,12.1,968,44,133.0
36,2020-05-07,4997.0,4997.0,,,1657.0,2345.0,887.0,108.0,3253.0,1744.0,2.1367069416867444,33.88983390034021,2.1367069416867444,12.3,7.8,18.9,0.0,0.0,17.8,938,49,140.0
37,2020-05-08,2793.0,2793.0,,,1094.0,1070.0,559.0,70.0,2051.0,742.0,2.1308040443575407,19.450537056928034,2.1308040443575407,5.2,1.1,7.8,0.0,0.0,23.7,921,43,98.0
