,date,tavg,prcp,snow,wspd
0,2020-04-01,6.2,0.0,0.0,12.5
1,2020-04-02,7.4,0.0,0.0,8.3
2,2020-04-03,13.4,0.3,0.0,11.1
3,2020-04-04,6.7,3.0,0.0,15.4
4,2020-04-05,5.7,0.0,0.0,14.2
5,2020-04-06,10.5,3.8,0.0,10.4
6,2020-04-07,19.4,17.5,0.0,15.6
7,2020-04-08,13.3,4.8,0.0,12.2
8,2020-04-09,6.6,0.0,0.0,29.7
9,2020-04-10,5.0,0.0,0.0,17.1
10,2020-04-11,11.5,5.8,0.0,14.2
11,2020-04-12,13.4,0.8,0.0,16.5
12,2020-04-13,5.3,1.3,0.0,28.6
13,2020-04-14,2.0,0.0,0.0,22.9
14,2020-04-15,0.9,2.3,0.0,13.9
15,2020-04-16,3.3,0.0,0.0,14.8
16,2020-04-17,2.5,9.4,0.0,12.6
17,2020-04-18,7.8,0.0,0.0,23.9
18,2020-04-19,10.0,0.0,0.0,18.2
19,2020-04-20,10.5,1.5,0.0,17.6
20,2020-04-21,6.7,0.0,0.0,24.8
21,2020-04-22,9.2,0.0,0.0,11.5
22,2020-04-23,10.1,0.0,0.0,10.4
23,2020-04-24,6.8,0.0,0.0,14.7
24,2020-04-25,6.7,20.3,0.0,18.7
25,2020-04-26,10.7,0.0,0.0,18.0
26,2020-04-27,12.6,8.1,0.0,15.0
27,2020-04-28,17.4,8.9,0.0,15.4
28,2020-04-29,11.8,58.7,0.0,19.3
29,2020-04-30,8.0,3.0,0.0,23.0
30,2020-05-01,12.0,0.0,0.0,7.0
31,2020-05-02,19.6,0.0,0.0,19.4
32,2020-05-03,18.2,0.0,0.0,16.2
33,2020-05-04,6.9,0.0,0.0,23.8
34,2020-05-05,7.3,6.6,0.0,15.0
35,2020-05-06,10.5,0.0,0.0,12.1
36,2020-05-07,12.3,0.0,0.0,17.8
37,2020-05-08,5.2,0.0,0.0,23.7
38,2020-05-09,7.8,0.0,0.0,15.1
39,2020-05-10,7.8,10.7,0.0,17.6
40,2020-05-11,6.8,0.0,0.0,12.1
41,2020-05-12,9.9,0.0,0.0,14.7
42,2020-05-13,13.8,0.3,0.0,18.9
43,2020-05-14,16.7,59.9,0.0,13.9
44,2020-05-15,19.1,8.9,0.0,12.9
45,2020-05-16,14.6,10.2,0.0,16.2
46,2020-05-17,16.2,100.3,0.0,14.2
47,2020-05-18,15.3,0.0,0.0,12.7
48,2020-05-19,13.2,5.6,0.0,20.4
49,2020-05-20,14.9,0.0,0.0,20.4
50,2020-05-21,16.0,0.0,0.0,10.7
51,2020-05-22,16.6,0.0,0.0,8.3
52,2020-05-23,19.7,13.2,0.0,13.0
53,2020-05-24,24.7,0.0,0.0,10.3
54,2020-05-25,25.4,0.0,0.0,13.6
55,2020-05-26,26.5,0.0,0.0,13.9
56,2020-05-27,25.5,4.6,0.0,10.4
57,2020-05-28,23.1,4.3,0.0,15.2
58,2020-05-29,19.5,0.8,0.0,17.3
59,2020-05-30,16.8,0.0,0.0,13.2
60,2020-05-31,14.8,0.0,0.0,14.8
